term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,dfidf,mean_tfidf
report,0.0108269443175899,-0.0055596341660983,0.0127252120391623,0.010462632975977,-0.0003058898874426,-0.0074717473587309,-0.002124100707296,0.0204803946035178,-0.0043892493202867,-0.0165715934775667,19,0.0002478250094564,11.978390594015218,6,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0031406099504524
school,0.0067463630888443,-0.0040595648410819,0.0071800403624895,-0.0002221017966734,-0.0057108472539492,0.0203026817967324,0.0128828994015759,0.0167819531992672,0.0161738187302987,0.0028025449880334,11,0.0001434776370537,12.766886488821507,6,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0035894041345787
plumbing,-0.0038834760699724,0.0072556047389393,0.0053839324468816,-0.0485421038430011,-0.0144314743484147,0.0016855030398514,0.0443858199464436,0.0228541545847308,0.0192134016699333,-0.0095893080446675,23,0.0002999986956578,11.702756151401791,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0068531553699958
comment,0.0364516534145228,-0.0026282826216665,-0.0137919295729049,0.0214735467020194,-0.0152109727008989,0.0544204404261488,0.0121061873129598,-0.0723816141429261,-0.0082865298713358,-0.0308813447457343,23,0.0002999986956578,11.702756151401791,7,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0082338129728269
loads,0.0145265775570084,0.0058827109134731,0.0111730610325265,-0.0248030313352148,0.0317824098458704,0.0171287167945469,-0.0178163608818546,0.007058651085969,0.0074026220410771,0.031367373195144,19,0.0002478250094564,11.978390594015218,5,NNS,3,"{'NNS', 'NN', 'NNP'}",0,9.316952533289973,0.005877302450623
cut,0.0075321561772652,0.0330504539121554,0.0150235021188137,-0.0548913961109195,-0.0286228655450588,-0.0465687399968297,0.0203780419863748,-0.0243587709648606,-0.0459112692809321,0.0024490819076182,19,0.0002478250094564,11.978390594015218,3,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.010041169431886
answers,0.0087927186278807,0.0038551347755383,0.0053475021580172,-0.0075504366261999,0.0041503367762056,0.0184398167809484,0.0050161221701098,0.0092042244163276,-0.0098881836508611,0.0016109925093348,9,0.000117390793953,13.056393106016492,7,NNS,1,{'NNS'},0,9.316952533289973,0.0025366093863743
astm,-0.0081995838101611,-0.004898953744915,-0.0067994209251323,0.0176449665623606,0.0153060065444873,-0.0016515093031111,0.0158865771957337,0.012575847262659,-0.0205554036488686,0.0227683553343275,19,0.0002478250094564,11.978390594015218,4,NNP,1,{'NNP'},0,9.316952533289973,0.0042603051663103
vice,0.0103448186242525,-0.0025183703174659,0.0070100969997883,0.0099112559996117,-0.0020756926433484,0.0090955606326678,0.0145706930634721,0.0294685256127633,0.0101846485181627,0.0184421403321738,14,0.0001826079017047,12.4189631854012,4,NNP,1,{'NNP'},0,9.316952533289973,0.002435045923801
communities,0.0026737133500958,-0.0011816371180554,0.0007407318759562,0.0022992879751522,-0.0074230161243387,0.0170525352690689,0.0037490013599799,0.0010651567678992,0.0062387069431264,0.0059506040724976,10,0.0001304342155034,12.904390012571442,11,NNS,1,{'NNS'},0,9.316952533289973,0.0026150211403863
