term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
alloys,-0.09967822476574838,-0.050888288820192536,-0.13222139458445245,-0.09467767733796084,0.0007441047976661417,-0.13083709311676844,-0.08386172580694332,0.03962288671606235,-0.060047048173660515,0.15060096730835087
capabilities,-0.02802746153136427,-0.03343779978951933,-0.011564712362259368,0.041366107514648545,0.03349577626510478,-0.02582165384350167,0.036418829879297565,-0.01018176705040054,0.001721181610896241,0.0006975157579167082
machines,-0.0776004203271536,-0.09677282065927975,0.030299770119790025,0.007265064197549113,0.012977192610181413,-0.03674337368446173,-0.012366615208475753,-0.045454562056594545,-0.0066145489538438395,-0.01960589709047228
precision,0.011853357678342766,-0.06327503310485592,0.08356648002178009,0.08613767844481002,0.09589663085692321,-0.13295619735094566,0.15182394984577133,-0.1180006489674599,0.010229721811359354,0.01340791846397678
facilities,0.0005976750612330778,-0.011973897025657623,0.012507812364925652,0.03200307514380255,-0.0032727606313382126,-0.00832441714155039,0.026338621747265863,0.008450463314100997,0.026155063115478605,-0.0029838710469982785
s,-0.00039296210560224506,0.012369695247993175,0.007755077468741908,0.00986155094014776,-0.022239936498946636,0.0019346538190590783,0.008283423507260183,0.020887295672223877,0.026189137035219922,0.00021881930936905498
shop,-0.002144366298108587,0.024340815475372125,0.004630507269020115,0.02866199451847601,0.00573310056854281,0.02769389418761032,0.016491627749141556,-0.054609429393391445,-0.035479287613108756,-0.01754496609237717
rights,0.02479279558388742,-0.008546403214178584,0.022086986306894697,0.08139054085806413,0.04039755070307065,-0.02887428338818183,0.014486921439651785,-0.08033122606368119,-0.01974871158247008,0.07746923718145664
cost,-0.038340036739651875,-0.010961508912353375,-0.0144337001359011,0.015742768391942268,0.009636407185014455,0.006117329008305101,0.00392000032300845,0.028653220050592718,-0.016983786538419667,0.028405197100912088
foundry,-0.18076897148082377,0.3524626422680197,-0.08810433270118156,0.028817487791272568,-0.07146986258190147,-0.07018232744023392,-0.11786408020703679,-0.08273440376895395,0.03768397387045042,-0.061148506306139765
line,-0.007720686236457569,0.03204714265511672,0.002274580062533096,-0.025690356692100843,-0.0017103747755460458,0.021221167580225755,0.019397608981853245,-0.002750483763596369,-0.027101725435071895,-0.016790728730730873
equipment,-0.018832780850664425,-0.01711764994529153,0.024265904333393158,0.03400017211722194,0.058078239642225256,-0.027981185079283512,0.04959994970749845,0.0004246466236296942,-0.02802468723233595,-0.00856170749968846
casting,-0.3339228392732918,-0.11745988716962141,-0.16154008935770453,0.07506380339976497,0.02267439083077167,0.12001692891756403,-0.07391576455708933,0.06693461971740758,0.14037476215158978,-0.031209086743938217
commitment,0.0025684981589380314,-0.008234214829493483,0.004396866464142629,0.0014621259887735978,0.019558768260739986,0.0026023113145980047,0.022517372938138356,-0.0018581993723756156,0.002832262245333811,-0.011408593638262734
value,-0.0013967750976961119,-0.013020681419606758,0.018718893307444313,0.054304645876830225,0.023629620279640842,-0.003797904051420878,0.061728075318936634,0.028484916907189316,0.005880524423910299,0.011102206294907477
specifications,0.0006565774363016043,0.009898890990818606,-0.005781274387951657,-0.010659555269638894,0.03384940136564093,0.005810578983731375,0.035202939817802856,0.01756088880866252,-0.02630020639817554,0.018787438381512478
standards,-0.011822284750351172,-0.0190353039744574,0.005329547450128396,0.0030332453692287656,0.011361179196615074,-0.010038709691754985,0.021641755924812656,0.012908932222678304,-0.005531551409411314,0.005611512048046369
size,-0.030045194693837332,0.033554817160008577,-0.002243300710753943,-0.02788283375217595,-0.009149768672719761,-0.027451067756411957,0.017589926705680724,-0.012295796635802658,-0.040274034457782326,0.0009440135921946931
